laureat_amoa; entreprises
Quant developer / Data engineer @SGCIB
Data Engineer @ Capgemini
Data engineer at leyton
Data Engineer @ Deloitte | Python | SQL | AWS | Azure | Spark | Airflow | Data Modeling
Data Engineer student - INPT | intern @Henceforth
Consultant Data engineer chez CGI
Data Engineer Consultant Intern @IBM
Data Scientist | ML Software Engineer at Oracle
Étudiant à l’institut national des postes et télécommunications - Stagiaire Data engineer chez BDSI - BNP Paribas
Data Engineer | Data Scientist Student
Data Engineer
Data Engineer at AKUMEN IA (Valyans & AIOX Labs JV)
DATA Engineering
Data engineer chez DSIBA La Banque Postale
Data Engineer Python | Certified AWS CCP | Certified Scrum Master
Data Engineer
Data Engineer
Consultante BI chez RMA - Royale Marocaine d'Assurance
Data engineer chez Elipce
Data Engineer || BI & Data visualization.
Data Scientist | Machine Learning/ Deep Learning Engineer | FreeLancer
Data Engineer | Certified AWS Developer Associate | Ensimag Alumni
Data Scientist & ML Engineer at Keenturtle
Data Engineer at Outfittery GmbH
Data Engineer | Trading Process Analyst at Société Générale - Africa Technologies & Services
Data Engineer chez CGI
Data Engineer at AXA Investment Managers
Data engineer | consultante ETL | Datastage
Data Engineer
Data Engineer Student, searching for an internship.
Data Solutions Architect
Junior Data Engineer Consultant at @Deloitte
Data Engineer | 2x Microsoft Azure Certified
Data Engineer Intern
